date,resort_name,region,country,pass,snowfall
2020-12-29,Boyne Highlands,Michigan,United_States,IKON,0
2020-12-29,Boyne Mountain Resort,Michigan,United_States,IKON,0
2020-12-29,Breckenridge,Colorado,United_States,EPIC,4
2020-12-29,Brides les Bains,Northern_Alps,France,EPIC,0
2020-12-29,Brighton Resort,Utah,United_States,IKON,4
2020-12-29,Copper Mountain,Colorado,United_States,IKON,4
2020-12-29,Courchevel,Northern_Alps,France,EPIC,0
2020-12-29,Crested Butte Mountain Resort,Colorado,United_States,EPIC,7
2020-12-29,Crystal Mountain,Washington,United_States,IKON,0
2020-12-29,Cypress Mountain,British_Columbia,Canada,IKON,0
2020-12-29,Deer Valley Resort,Utah,United_States,IKON,2
2020-12-29,Eldora Mountain Resort,Colorado,United_States,IKON,2
2020-12-29,Falls Creek Alpine Resort,Australia,Australia,EPIC,0
2020-12-29,Fernie Alpine,British_Columbia,Canada,EPIC,0
2020-12-29,Folgàrida - Marilléva,Trentino,Italy,EPIC,0
2020-12-29,Heavenly,California,United_States,EPIC,0
2020-12-29,Jackson Hole,Wyoming,United_States,IKON,0
2020-12-29,June Mountain,California,United_States,IKON,0
2020-12-29,Keystone,Colorado,United_States,EPIC,3
2020-12-29,Kicking Horse,British_Columbia,Canada,EPIC,1
2020-12-29,Killington Resort,Vermont,United_States,IKON,0
2020-12-29,Kimberley,British_Columbia,Canada,EPIC,0
2020-12-29,Kirkwood,California,United_States,EPIC,0
2020-12-29,La Tania,Northern_Alps,France,EPIC,0
2020-12-29,Lake Louise,Alberta,Canada,IKON,0
2020-12-29,Les Menuires,Northern_Alps,France,EPIC,0
2020-12-29,Loon Mountain,New_Hampshire,United_States,IKON,1
2020-12-29,Madonna di Campiglio,Trentino,Italy,EPIC,0
2020-12-29,Mammoth Mountain,California,United_States,IKON,3
2020-12-29,Meribel,Northern_Alps,France,EPIC,0
2020-12-29,Mont Sainte Anne,Quebec,Canada,EPIC,7
2020-12-29,Monte Bondone,Trentino,Italy,EPIC,0
2020-12-29,Mount Sunapee,New_Hampshire,United_States,EPIC,0
2020-12-29,Mt. Bachelor,Oregon,United_States,IKON,0
2020-12-29,Mt. Brighton,Michigan,United_States,EPIC,1
2020-12-29,Mt. Buller,Australia,Australia,IKON,0
2020-12-29,Mt. Hotham,Australia,Australia,EPIC,0
2020-12-29,Mt. Norquay,Alberta,Canada,IKON,0
2020-12-29,Nakiska Ski Area,Alberta,Canada,EPIC,0
2020-12-29,Nendaz,Valais,Switzerland,EPIC,0
2020-12-29,Northstar California,California,United_States,EPIC,0
2020-12-29,Okemo Mountain Resort,Vermont,United_States,EPIC,0
2020-12-29,Orelle,Northern_Alps,France,EPIC,0
2020-12-29,Park City,Utah,United_States,EPIC,4
2020-12-29,Pejo,Trentino,Italy,EPIC,0
2020-12-29,Perisher,Australia,Australia,EPIC,0
2020-12-29,Pinzolo,Trentino,Italy,EPIC,0
2020-12-29,Pontedilegno - Tonale,Trentino,Italy,EPIC,0
2020-12-29,Revelstoke,British_Columbia,Canada,IKON,0
2020-12-29,Saint Martin de Belleville,Northern_Alps,France,EPIC,0
2020-12-29,Snow Summit,California,United_States,IKON,0
2020-12-29,Snowbasin,Utah,United_States,EPIC,0
2020-12-29,Snowbird,Utah,United_States,IKON,1
2020-12-29,Snowshoe Mountain,West_Virginia,United_States,IKON,0
2020-12-29,Solitude Mountain Resort,Utah,United_States,IKON,0
2020-12-29,Squaw Valley Alpine Meadows,California,United_States,IKON,0
2020-12-29,Steamboat,Colorado,United_States,IKON,6
2020-12-29,Stevens Pass Resort,Washington,United_States,EPIC,0
2020-12-29,Stoneham,Quebec,Canada,EPIC,4
2020-12-29,Stowe Mountain,Vermont,United_States,EPIC,3
2020-12-29,Stratton Mountain,Vermont,United_States,IKON,0
2020-12-29,Sugarbush,Vermont,United_States,IKON,2
2020-12-29,Sugarloaf,Maine,United_States,IKON,0
2020-12-29,Sun Valley,Idaho,United_States,EPIC,0
2020-12-29,Sunday River,Maine,United_States,IKON,0
2020-12-29,Sunshine Village,Alberta,Canada,IKON,0
2020-12-29,Taos Ski Valley,New_Mexico,United_States,IKON,4
2020-12-29,Telluride,Colorado,United_States,EPIC,5
2020-12-29,The Summit at Snoqualmie,Washington,United_States,IKON,0
2020-12-29,Thredbo Alpine Resort,Australia,Australia,IKON,0
2020-12-29,Thyon 2000,Valais,Switzerland,EPIC,0
2020-12-29,Tremblant,Quebec,Canada,IKON,8
2020-12-29,Vail,Colorado,United_States,EPIC,6
2020-12-29,Val Thorens,Northern_Alps,France,EPIC,0
2020-12-29,Verbier,Valais,Switzerland,EPIC,0
2020-12-29,Veysonnaz,Valais,Switzerland,EPIC,0
2020-12-29,Whistler Blackcomb,British_Columbia,Canada,EPIC,0
2020-12-29,Wilmot Mountain,Wisconsin,United_States,EPIC,1
2020-12-29,Windham Mountain,New_York,United_States,IKON,2
2020-12-29,Winter Park,Colorado,United_States,IKON,4
2020-12-30,Afton Alps,Minnesota,United_States,EPIC,2
